courseKey,division,courseCode,courseTitle,capacity,beginTime,endTime,days,faculty
442,UG,MTH1311,Calculus I: Differential Calculus,20,2:00 PM,3:20 PM,TR,"CHAATIT, Fouad"
443,UG,MTH1311,Calculus I: Differential Calculus,20,3:30 PM,4:50 PM,TR,"CHAATIT, Fouad"
444,UG,MTH1312,Integral Calculus,20,3:30 PM,4:50 PM,TR,"LAAYOUNI, Lahcen"
445,UG,MTH1312,Calculus II: Integral Calculus,20,5:00 PM,6:20 PM,TR,"LAAYOUNI, Lahcen"
446,UG,MTH1388,Introductory Mathematical Thinking,20,10:00 AM,10:50 AM,MWF,"SAMADI, Sedki"
447,UG,MTH2301,Multivariable Calculus,20,11:00 AM,12:20 PM,TR,"RHIATI, Nabil"
448,UG,MTH2301HC,Multivariable Calculus,10,11:00 AM,12:20 PM,TR,"RHIATI, Nabil"
449,UG,MTH2301,Multivariable Calculus,20,3:30 PM,4:50 PM,TR,"RHIATI, Nabil"
450,UG,MTH2301,Multivariable Calculus,20,5:00 PM,6:20 PM,TR,"RHIATI, Nabil"
451,UG,MTH2303,Linear Algebra and Matrix Theory,20,8:00 AM,8:50 AM,MWF,"NISAR SHEIKH, Naeem"
452,UG,MTH2303HC,Linear Algebra and Matrix Theory,10,8:00 AM,8:50 AM,MWF,"NISAR SHEIKH, Naeem"
453,UG,MTH2303,Linear Algebra and Matrix Theory,20,2:40 PM,3:30 PM,MWF,"NISAR SHEIKH, Naeem"
454,UG,MTH2303HC,Linear Algebra and Matrix Theory,10,2:40 PM,3:30 PM,MWF,"NISAR SHEIKH, Naeem"
455,UG,MTH2304,Differential Equations,20,12:00 PM,12:50 PM,MWF,"SAMADI, Sedki"
456,UG,MTH2304HC,Differential Equations,10,12:00 PM,12:50 PM,MWF,"SAMADI, Sedki"
457,UG,MTH2304,Differential Equations,20,8:00 AM,9:20 AM,TR,"LAAYOUNI, Lahcen"
458,UG,MTH3301,Probability & Statistics for,20,8:00 AM,9:20 AM,TR,"Piston, Cal"
459,UG,MTH4399,Sp.Tp. in Math: Math. for Engineers,15,9:00 AM,9:50 AM,MWF,"VAN LIERDE, V_ronique M.M"
460,UG,PHI2301,Philosophical Thought,30,2:00 PM,3:20 PM,TR,"BORKOWSKI, Rossitsa"
461,UG,PHI2301,Philosophical Thought,30,3:30 PM,4:50 PM,TR,"BORKOWSKI, Rossitsa"
462,UG,PHI2302,History of Ideas,30,12:00 PM,12:50 PM,MWF,"BIGLIARDI, Stefano"
463,UG,PHI2302,History of Ideas,30,2:40 PM,3:30 PM,MWF,"BIGLIARDI, Stefano"
464,UG,PHI2302,History of Ideas,30,3:40 PM,5:00 PM,MW,"BIGLIARDI, Stefano"
465,UG,PHY1400,Conceptual Physics,28,10:00 AM,10:50 AM,MWF,"KHALDOUNE, Asmae"
466,UG,PHY1400L,Conceptual Physics Lab,14,3:00 PM,4:50 PM,R,"LGHOUL, Rachid"
467,UG,PHY1401,Physics I,20,12:30 PM,1:50 PM,TR,"KHALDOUNE, Asmae"
468,UG,PHY1401L,Physics I Lab,10,1:40 PM,3:30 PM,M,"LGHOUL, Rachid"
469,UG,PHY1401,Physics I,20,2:00 PM,3:20 PM,TR,"DARHMAOUI, Hassane"
470,UG,PHY1401L,Physics I Lab,10,3:40 PM,5:30 PM,M,"LGHOUL, Rachid"
471,UG,PHY1401L,Physics I Lab,10,1:40 PM,3:30 PM,W,"LGHOUL, Rachid"
472,UG,PHY1401L,Physics I Lab,10,3:40 PM,5:30 PM,W,
473,UG,PHY1402,Physics II,28,3:30 PM,4:50 PM,TR,"LOUDIYI, Khalid"
474,UG,PHY1402L,Physics II Lab,14,5:40 PM,7:30 PM,W,
475,UG,PHY1402L,Physics II Lab,14,1:40 PM,3:30 PM,R,
476,UG,PSC2301,Comparative Political Systems,30,11:00 AM,12:20 PM,TR,"ZVAN-ELLIOTT, Katja"
477,UG,PSC2301,Comparative Political Systems,30,2:40 PM,3:30 PM,MWF,"LOUNNAS, Djalil"
478,UG,PSC3310,North African Government & Politics,20,2:00 PM,3:20 PM,TR,"ZVAN-ELLIOTT, Katja"
479,GR,PSC5370,North African Government & Politics,10,2:00 PM,3:20 PM,TR,"ZVAN-ELLIOTT, Katja"
480,UG,PSY1301,Introduction to Psychology,30,9:00 AM,9:50 AM,MWF,"MC DANIEL, Stephen Dale"
481,UG,PSY1301,Introduction to Psychology,30,10:00 AM,10:50 AM,MWF,"MC DANIEL, Stephen Dale"
482,UG,PSY1301,Introduction to Psychology,30,11:00 AM,11:50 AM,MWF,"MC DANIEL, Stephen Dale"
483,UG,PSY1301,Introduction to Psychology,30,5:00 PM,6:20 PM,TR,"VEYSSIERE,  Aure"
484,UG,PSY2302,Cognitive Sciences & Cognitive Psyc,30,5:00 PM,6:20 PM,TR,"STUBANAS, Kathryn Ember"
485,UG,PSY2304,Psychology of Health,30,12:30 PM,1:50 PM,TR,"VEYSSIERE,  Aure"
486,UG,SCI1201,Health Science,30,10:00 AM,10:50 AM,MW,"EL ASLI, Abdelghani"
487,UG,SCI2199,Special topics in Chemistry,20,8:00 AM,8:50 AM,T,"OUARDAOUI, Abdelkrim"
488,UG,SCM3301,Introduction to Management Science,25,12:00 PM,1:20 PM,MW,"ABRACHE, Jawad"
489,UG,SCM4301,Logistics and Supply Chain Mgt,25,3:40 PM,5:00 PM,MW,"BENRQYA, Yassine"
490,UG,SCM4302,Production and Inventory Management,25,5:10 PM,6:30 PM,MW,"BENRQYA, Yassine"
491,UG,SCM4303,Management of Transportation,25,9:30 AM,10:50 AM,TR,"BENRQYA, Yassine"
492,GR,SCM5301,Logistics and Supply Chain Managem,25,3:40 PM,5:00 PM,MW,"Akaaboune, Adil"
493,GR,SEM5321,Conventional Energy technologies,10,3:40 PM,5:00 PM,MW,"KHALDOUNE, Asmae"
494,GR,SEM5323,Energy Distribution Systems,10,9:00 AM,9:50 AM,MWF,"KHALLAAYOUN, Ahmed"
495,GR,SEM5325,Renwable Energy Technologies,10,2:00 PM,3:20 PM,TR,"LOUDIYI, Khalid"
496,GR,SEM5333,Master Thesis,10,,,,
497,GR,SEM5399,Special Topics in Sustainable Energ,10,,,,"BERDAI, Mohamed"
498,UG,SOC1301,Principles of Sociology,30,12:00 PM,12:50 PM,MWF,"MC DANIEL, Stephen Dale"
499,UG,SPN1301,Beginning Spanish I,17,12:30 PM,1:50 PM,TR,"BOUNOU, Abdelmouneim"
500,UG,SPN1301,Beginning Spanish I,17,9:30 AM,10:50 AM,TR,"BOUNOU, Abdelmouneim"
501,UG,SPN1301,Beginning Spanish I,17,10:00 AM,11:20 AM,MW,"BOUSFANJ,  Abdelkader"
502,UG,SPN1302,Beginning Spanish Ii,17,12:30 PM,1:50 PM,TR,"BOUNOU, Abdelmouneim"
503,UG,SSC1310,Introduction to Anthropology,30,12:30 PM,1:50 PM,TR,"THERRIEN, Catherine"
504,UG,SSC1310,Introduction to Anthropology,30,3:30 PM,4:50 PM,TR,"THERRIEN, Catherine"
